primaryTitle,genres,directors,writers,averageRating,numVotes
The Birth of a Nation,"Drama,History,War",nm0000428,"nm0228746,nm0000428,nm0940488",6.3,22720
Intolerance: Love's Struggle Throughout the Ages,"Drama,History",nm0000428,"nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488",7.7,14226
The Cabinet of Dr. Caligari,"Fantasy,Horror,Mystery",nm0927468,"nm0562346,nm0417917",8.1,57353
The Kid,"Comedy,Drama,Family",nm0000122,nm0000122,8.3,113099
The Phantom Carriage,"Drama,Fantasy,Horror",nm0803705,"nm0481248,nm0803705",8.1,10664
Häxan,"Documentary,Fantasy,History",nm0159725,nm0159725,7.7,12423
Nanook of the North,Documentary,nm0280904,"nm0280878,nm0280904",7.6,10896
Nosferatu,"Fantasy,Horror",nm0003638,"nm0301961,nm0831290",7.9,88712
Our Hospitality,"Comedy,Romance,Thriller","nm0000036,nm0090007","nm0369841,nm0115669,nm0593477",7.8,10200
Safety Last!,"Action,Comedy,Thriller","nm0628345,nm0853130","nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001",8.1,18392
The Last Laugh,Drama,nm0003638,nm0562346,8.1,12635
Sherlock Jr.,"Action,Comedy,Romance",nm0000036,"nm0369841,nm0593477,nm0115669",8.2,41890
Battleship Potemkin,"Drama,History,Thriller",nm0001178,"nm0012810,nm0001178,nm0017893,nm0038595,nm0872308",8.0,53003
The Gold Rush,"Adventure,Comedy,Drama",nm0000122,nm0000122,8.2,100885
The Phantom of the Opera,Horror,"nm0432216,nm0151606,nm0480677,nm0781292","nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473",7.6,16735
Faust,"Drama,Fantasy,Horror",nm0003638,"nm0369458,nm0477515,nm0324473",8.1,13929
The Lodger: A Story of the London Fog,"Crime,Drama,Mystery",nm0000033,"nm0523269,nm0822627,nm0000033",7.3,10394
Metropolis,"Drama,Sci-Fi",nm0000485,"nm0902376,nm0000485",8.3,159809
The General,"Action,Adventure,Comedy","nm0000036,nm0115669","nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548",8.1,81045
Sunrise,"Drama,Romance",nm0003638,"nm0562346,nm0837183,nm0385012,nm0129721",8.1,46832
Wings,"Action,Drama,Romance","nm0195496,nm0920074","nm0766850,nm0521002,nm0510024,nm0425456,nm0604526",7.5,11455
The Cameraman,"Comedy,Drama,Family","nm0000036,nm0781292","nm0115669,nm0513858,nm0267868,nm0090213,nm0604526",8.1,10464
The Circus,"Comedy,Romance",nm0000122,nm0000122,8.1,30137
The Passion of Joan of Arc,"Biography,Drama,History",nm0003433,"nm0217865,nm0003433",8.1,47566
"Steamboat Bill, Jr.","Action,Comedy,Drama","nm0718469,nm0000036",nm0361882,7.9,13232
Man with a Movie Camera,"Documentary,Music",nm0895048,nm0895048,8.4,22553
All Quiet on the Western Front,"Drama,War",nm0587277,"nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277",8.0,57272
Animal Crackers,"Comedy,Musical",nm0373511,"nm0442151,nm0753452,nm0436095,nm0748438",7.5,13547
The Blue Angel,"Drama,Music",nm0903049,"nm0542777,nm0958454,nm0901629,nm0509510,nm0903049,nm0935567",7.7,13635
Little Caesar,"Action,Crime,Drama",nm0503777,"nm0122446,nm0267020,nm0498133,nm0520501,nm0953123",7.2,12062
L'Age d'Or,"Comedy,Drama",nm0000320,"nm0000320,nm0198557,nm0211381",7.3,12835
City Lights,"Comedy,Drama,Romance",nm0000122,"nm0000122,nm0139714,nm0188357",8.5,167630
Dracula,"Drama,Fantasy,Horror","nm0115218,nm0005713","nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574",7.5,46809
Frankenstein,"Drama,Horror,Sci-Fi",nm0001843,"nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246",7.8,65296
M,"Crime,Mystery,Thriller",nm0000485,"nm0902376,nm0000485,nm0414825",8.3,143238
Monkey Business,"Comedy,Musical",nm0572851,"nm0673279,nm0426953,nm0790654,nm0790383,nm5030661",7.5,11393
The Public Enemy,"Crime,Drama",nm0920074,"nm0321891,nm0109148,nm0857710",7.7,17810
Dr. Jekyll and Mr. Hyde,"Horror,Sci-Fi",nm0541149,"nm0388755,nm0372698,nm0829044",7.6,12568
Freaks,"Drama,Horror",nm0115218,"nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138",7.9,42085
Grand Hotel,"Drama,Romance",nm0332539,"nm0062139,nm0237033,nm0049462,nm0941138",7.4,17328
Horse Feathers,"Comedy,Musical,Romance",nm0572851,"nm0436095,nm0748438,nm0673279,nm0426953,nm0790654",7.6,11769
I Am a Fugitive from a Chain Gang,"Crime,Drama,Film-Noir",nm0503777,"nm0122859,nm0337914,nm0391763,nm0316807",8.2,11629
The Most Dangerous Game,"Action,Adventure,Horror","nm0774325,nm0681635","nm0187256,nm0175028",7.1,10611
The Mummy,"Fantasy,Horror",nm0005713,"nm0701233,nm0770337,nm0049721",7.1,23667
Scarface,"Action,Crime,Drama","nm0744514,nm0001328","nm0870660,nm0372942,nm0589316,nm0536941,nm0122446,nm0001328,nm0664646",7.8,25281
The Testament of Dr. Mabuse,"Crime,Horror,Mystery",nm0000485,"nm0415167,nm0000485,nm0829954,nm0902376",8.0,11459
Trouble in Paradise,"Comedy,Crime,Romance",nm0523932,"nm0710723,nm0428177,nm0015801",8.0,13055
Vampyr,"Fantasy,Horror",nm0003433,"nm0494257,nm0432143,nm0003433",7.5,15862
Duck Soup,"Comedy,Musical,War",nm0564970,"nm0436095,nm0748438,nm0790654,nm0674759",7.8,55541
42nd Street,"Comedy,Drama,Musical",nm0045800,"nm0416861,nm0786827,nm0740622,nm0093456",7.4,10739
The Invisible Man,"Horror,Sci-Fi",nm0001843,"nm0920229,nm0792670,nm0002545,nm0943804",7.7,30639
King Kong,"Adventure,Horror,Sci-Fi","nm0178260,nm0774325","nm0187256,nm0741656,nm0178260,nm0908624,nm0330390",7.9,78888
L'Atalante,"Comedy,Drama,Romance",nm0897118,"nm0347447,nm0729960,nm0897118",7.8,14472
It Happened One Night,"Comedy,Romance",nm0001008,"nm0728307,nm0011343",8.1,93886
The Man Who Knew Too Much,"Crime,Mystery,Thriller",nm0000033,"nm0071657,nm0943922,nm0339326,nm0712653,nm0930539",6.8,16998
The Thin Man,"Comedy,Crime,Mystery",nm0886754,"nm0352443,nm0329304,nm0358591",8.0,26598
Triumph of the Will,"Documentary,History,War",nm0726166,"nm0726166,nm0752193,nm1168002",7.3,14879
The 39 Steps,"Crime,Mystery,Thriller",nm0000033,"nm0117955,nm0071657,nm0067308",7.6,51793
The Bride of Frankenstein,"Drama,Horror,Sci-Fi",nm0001843,"nm0791217,nm0403398,nm0049721,nm0076653,nm0088662,nm0282984,nm0531878,nm0715723,nm0792670,nm1073460,nm2191908",7.8,43507
Captain Blood,"Action,Adventure",nm0002031,"nm0754581,nm0732452",7.7,12957
Mutiny on the Bounty,"Adventure,Biography,Drama",nm0515979,"nm0421255,nm0299154,nm0933133,nm0635079,nm0355681,nm0004290,nm0268513",7.7,20795
A Night at the Opera,"Comedy,Music,Musical","nm0939992,nm0332539","nm0442151,nm0753452,nm0570130,nm0000036,nm0090213,nm0436095,nm0649183,nm0685265,nm0748438,nm0780833,nm0933133",7.9,30556
Top Hat,"Comedy,Musical,Romance",nm0762263,"nm0852313,nm0778818,nm0015801,nm0267022,nm0391750,nm0639130,nm0817809",7.7,17474
Fury,"Crime,Drama,Film-Noir",nm0000485,"nm0179993,nm0000485,nm0469915",7.9,11231
Modern Times,"Comedy,Drama,Family",nm0000122,nm0000122,8.5,217594
Mr. Deeds Goes to Town,"Comedy,Drama,Romance",nm0001008,"nm0728307,nm0445502",7.9,19732
My Man Godfrey,"Comedy,Drama,Romance",nm0478441,"nm0753452,nm0368719,nm0015399,nm0478441,nm0696190",8.0,21102
The Petrified Forest,"Drama,Film-Noir,Romance",nm0562845,"nm0448981,nm0202681,nm0792845",7.5,12518
Sabotage,"Crime,Thriller",nm0000033,"nm0175676,nm0071657,nm0067308,nm0801026,nm0256532",7.0,14954
Swing Time,"Comedy,Musical,Romance",nm0828419,"nm0512231,nm0778818,nm0312510,nm0391750,nm0416861,nm0892044,nm0949130",7.6,12310
The Awful Truth,"Comedy,Romance",nm0564970,"nm0217568,nm0725017,nm0118227",7.7,17769
A Day at the Races,"Comedy,Musical,Sport",nm0939992,"nm0685265,nm0780833,nm0649183,nm0090213,nm0330390,nm0442151,nm0933133",7.6,12940
The Grand Illusion,"Drama,War",nm0719756,"nm0816458,nm0719756",8.1,33793
Lost Horizon,"Adventure,Drama,Fantasy",nm0001008,"nm0728307,nm0385264,nm0118227",7.7,11998
Snow White and the Seven Dwarfs,"Animation,Family,Fantasy","nm0604392,nm0359457,nm0183183,nm0789313,nm0414144,nm0668998","nm0342278,nm0342303,nm0780799,nm0187232,nm0257481,nm0725439,nm0403319,nm0210112,nm0087490,nm0810324",7.6,181431
The Adventures of Robin Hood,"Action,Adventure,Romance","nm0445033,nm0002031","nm0706993,nm0589316,nm0500284",7.9,47120
Alexander Nevsky,"Action,Biography,Drama","nm0890565,nm0001178","nm0001178,nm0667698",7.6,10463
Angels with Dirty Faces,"Crime,Drama,Film-Noir",nm0002031,"nm0923333,nm0240417,nm0114602,nm0372942,nm0531269",7.9,19808
Bringing Up Baby,"Comedy,Family,Romance",nm0001328,"nm0629580,nm0928444",7.8,55111
Holiday,"Comedy,Romance",nm0002030,"nm0829330,nm0118227,nm0058129",7.8,14621
Jezebel,"Drama,Romance",nm0943758,"nm0728002,nm0277874,nm0001379,nm0205244,nm0118758,nm0248994",7.5,12021
The Lady Vanishes,"Mystery,Thriller",nm0000033,"nm0924781,nm0319148,nm0490950",7.8,47345
You Can't Take It with You,"Comedy,Drama,Romance",nm0001008,"nm0728307,nm0442151,nm0366454",7.9,23323
Destry Rides Again,"Comedy,Western",nm0550892,"nm0413519,nm0700717,nm0616730,nm0062738",7.7,10268
Gone with the Wind,"Drama,History,Romance","nm0281808,nm0002030,nm0939992","nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668",8.1,289781
Gunga Din,"Adventure,Comedy,War",nm0828419,"nm0768540,nm0347451,nm0372942,nm0531269,nm0456017,nm0001203,nm0169556,nm0173303,nm0493071,nm0629580,nm0892044",7.3,10952
The Hunchback of Notre Dame,"Drama,Romance",nm0226189,"nm0397022,nm0290863,nm0401076",7.8,10388
Mr. Smith Goes to Washington,"Comedy,Drama",nm0001008,"nm0118227,nm0287931,nm0175333",8.1,106886
Ninotchka,"Comedy,Romance",nm0523932,"nm0102818,nm0000697,nm0281556,nm0501872",7.9,18959
Only Angels Have Wings,"Adventure,Drama,Romance",nm0001328,"nm0299154,nm0001328,nm0341178,nm0710299",7.7,12541
The Roaring Twenties,"Crime,Drama,Film-Noir",nm0909825,"nm0907003,nm0531335,nm0744035,nm0375446,nm0049898,nm0231893,nm0923333",8.0,12723
The Rules of the Game,"Comedy,Drama",nm0719756,"nm0719756,nm0002569",8.0,26698
Stagecoach,"Adventure,Drama,Western",nm0000406,"nm0370697,nm0629580,nm0372942",7.8,43554
The Wizard of Oz,"Adventure,Family,Fantasy","nm0851537,nm0002030,nm0861703,nm0896542,nm0281808,nm0503777","nm0486538,nm0753249,nm0941138,nm0000875,nm0006085,nm0106505,nm0134284,nm0276252,nm0355095,nm0361971,nm0388755,nm0481618,nm0536941,nm0542534,nm0591774,nm0621790,nm0685265,nm0780833,nm0799015",8.0,371203
The Women,"Comedy,Drama",nm0002030,"nm0524403,nm0002616,nm0613848,nm0280234,nm0829330",7.8,12604
Wuthering Heights,"Drama,Romance",nm0943758,"nm0531269,nm0372942,nm0111577,nm0001379",7.6,16408
Fantasia,"Animation,Family,Fantasy","nm0035899,nm0019282,nm0789313,nm0766402,nm1968474,nm0272568,nm0359457,nm0359610,nm0730860,nm0414144,nm0527217,nm0373429","nm0335469,nm0400056,nm0086293,nm0687624,nm0226679,nm0390839,nm0942687,nm0372604,nm0538164,nm0373871,nm0668998,nm0266338,nm0553200,nm0857936,nm0827963,nm0572689,nm0257481,nm0810324,nm0672093,nm0754836,nm0670328,nm0821707,nm0335296,nm6773872",7.7,88560
Foreign Correspondent,"Action,Romance,Thriller",nm0000033,"nm0071657,nm0365661,nm0385264,nm0070361,nm0372942,nm0537363",7.5,18475
The Grapes of Wrath,"Drama,History",nm0000406,"nm0425913,nm0825705",8.0,85521
The Great Dictator,"Comedy,Drama,War",nm0000122,nm0000122,8.4,202876
His Girl Friday,"Comedy,Drama,Romance",nm0001328,"nm0496468,nm0372942,nm0531269,nm0753452",7.9,53602
The Letter,"Crime,Drama,Film-Noir",nm0943758,"nm0560857,nm0462321",7.6,11722
The Philadelphia Story,"Comedy,Romance",nm0002030,"nm0829330,nm0058129,nm0759029",7.9,63458
Pinocchio,"Animation,Comedy,Family","nm0455741,nm0373429,nm0272568,nm0730860,nm0527217,nm0789313,nm0414144","nm0172830,nm0780799,nm0257481,nm0810324,nm0183183,nm0754836,nm0672093,nm0061284,nm0670328,nm0850895",7.4,131251
Rebecca,"Drama,Mystery,Romance",nm0000033,"nm0238898,nm0792845,nm0365661,nm0531878,nm0389580",8.1,123798
The Shop Around the Corner,"Comedy,Drama,Romance",nm0523932,"nm0710723,nm0529450,nm0372942",8.1,28407
The Thief of Bagdad,"Adventure,Family,Fantasy","nm0003490,nm0003836,nm0924065,nm0466099,nm0466113,nm0580017","nm0539942,nm0083742,nm0000067",7.5,11921
Ball of Fire,"Comedy,Romance",nm0001328,"nm0102818,nm0000697,nm0598572",7.8,10993
Citizen Kane,"Drama,Mystery",nm0000080,"nm0542534,nm0000080,nm0002144,nm0219670,nm0448809",8.3,402799
Dumbo,"Animation,Drama,Family","nm0272568,nm0730860,nm0455741,nm0254675,nm0789313,nm0414144,nm0035899","nm0335469,nm0400056,nm0257481,nm0670328,nm0061284,nm0727370,nm0821707,nm0810324,nm0008673,nm2927785",7.2,119688
High Sierra,"Action,Adventure,Crime",nm0909825,"nm0001379,nm0122446",7.5,15119
How Green Was My Valley,"Drama,Family",nm0000406,"nm0242897,nm0515751",7.7,21346
The Lady Eve,"Comedy,Romance",nm0002545,"nm0388743,nm0002545",7.8,19104
The Little Foxes,"Drama,Romance",nm0943758,"nm0375484,nm0462111,nm0662213,nm0132180",8.0,10461
The Maltese Falcon,"Film-Noir,Mystery",nm0001379,"nm0001379,nm0358591",8.0,148777
Meet John Doe,"Comedy,Drama,Romance",nm0001008,"nm0175028,nm0696190,nm0728307,nm0175333",7.6,12184
Sergeant York,"Biography,Drama,History",nm0001328,"nm0277874,nm0151310,nm0462321,nm0001379,nm0948663,nm0804097,nm0184633",7.7,15384
Sullivan's Travels,"Adventure,Comedy,Drama",nm0002545,nm0002545,7.9,24004
Suspicion,"Film-Noir,Mystery,Thriller",nm0000033,"nm0710723,nm0365661,nm0720904,nm0075324",7.4,32756
The Wolf Man,Horror,nm0905729,nm0802561,7.3,24019
Bambi,"Animation,Drama,Family","nm0730860,nm0942687,nm0204190,nm0019282,nm0035899,nm0359457,nm0314671,nm0373871,nm0766402","nm0759041,nm0668998,nm0604392,nm0821707,nm0789873,nm0266338,nm0183231,nm0942723",7.3,131248
Casablanca,"Drama,Romance,War",nm0002031,"nm0258493,nm0258525,nm0462321,nm0122417,nm0019706,nm0732452",8.5,521552
Cat People,"Fantasy,Horror,Thriller",nm0869664,nm0090840,7.3,20076
Holiday Inn,"Comedy,Drama,Music","nm0762263,nm0020980","nm0083125,nm0723418,nm0000927,nm0391750,nm0492635,nm0616893,nm0841702",7.4,13566
The Magnificent Ambersons,"Drama,Romance","nm0936404,nm0000080,nm0281381","nm0850483,nm0000080,nm0001072,nm0608986",7.7,22592
Mrs. Miniver,"Drama,Romance,War",nm0943758,"nm0934497,nm0296207,nm0385264,nm0921995,nm0835369,nm0651585,nm0792670,nm0928295",7.6,15918
"Now, Voyager","Drama,Romance",nm0710924,"nm0732452,nm0698989",7.9,15181
The Palm Beach Story,"Comedy,Romance",nm0002545,"nm0002545,nm0480677",7.5,10765
Saboteur,"Thriller,War",nm0000033,"nm0896830,nm0365661,nm0662213,nm0000033",7.2,23416
Kate & Leopold,"Comedy,Fantasy,Romance",nm0003506,"nm0737216,nm0003506",6.4,78940
To Be or Not to Be,"Comedy,War",nm0523932,"nm0501872,nm0562372,nm0523932",8.2,29817
Yankee Doodle Dandy,"Biography,Drama,Music",nm0002031,"nm0118758,nm0430578,nm0258493,nm0258525",7.7,14091
I Walked with a Zombie,"Drama,Fantasy,Horror",nm0869664,"nm0802561,nm0942027,nm0908681,nm0111576",7.1,11057
The Life and Death of Colonel Blimp,"Drama,Romance,War","nm0003836,nm0696247","nm0003836,nm0696247",8.1,13193
The Ox-Bow Incident,"Drama,Western",nm0920074,"nm0873707,nm0888099",8.0,20845
Shadow of a Doubt,"Film-Noir,Thriller",nm0000033,"nm0928642,nm0072639,nm0720904,nm0568060",7.8,59504
Arsenic and Old Lace,"Comedy,Crime,Thriller",nm0001008,"nm0258493,nm0258525,nm0450279",8.0,65064
Double Indemnity,"Crime,Drama,Film-Noir",nm0000697,"nm0000697,nm0151452,nm0128906",8.3,143336
Gaslight,"Crime,Drama,Mystery",nm0002030,"nm0886668,nm0281556,nm0049721,nm0358096",7.8,24609
The Best Years of Our Lives,"Drama,Romance,War",nm0943758,"nm0792845,nm0437969",8.0,57222
Going My Way,"Comedy,Drama,Music",nm0564970,"nm0124918,nm0147119,nm0564970,nm0235160",7.0,10591
Laura,"Drama,Film-Noir,Mystery",nm0695937,"nm0143837,nm0237225,nm0388755,nm0718101,nm0488057",8.0,42678
Lifeboat,"Drama,War",nm0000033,"nm0825705,nm0842485,nm0000033,nm0372942",7.6,26446
Meet Me in St. Louis,"Comedy,Drama,Family",nm0591486,"nm0106505,nm0277943,nm0072639,nm0373511,nm0525067,nm0556945,nm4251617",7.5,21072
"Murder, My Sweet","Crime,Drama,Film-Noir",nm0229424,"nm0668122,nm0151452",7.6,12057
To Have and Have Not,"Adventure,Comedy,Film-Noir",nm0001328,"nm0002133,nm0299154,nm0001203,nm0010850,nm0150462",7.8,31022
The Woman in the Window,"Crime,Drama,Film-Noir",nm0000485,"nm0425913,nm0909260",7.7,14119
And Then There Were None,"Crime,Drama,Mystery",nm0163229,"nm0002005,nm0629580",7.5,13071
Brief Encounter,"Drama,Romance",nm0000180,"nm0002021,nm0369743,nm0000180,nm0623768",8.0,35563
Dead of Night,"Drama,Horror","nm0357607,nm0213136,nm0187769,nm0146709","nm0047786,nm0534191,nm0165021,nm0920229,nm0072478",7.6,11020
Detour,"Crime,Drama,Film-Noir",nm0880618,"nm0326107,nm0600755",7.4,15207
Children of Paradise,"Drama,Romance",nm0138893,nm0699535,8.4,18217
Leave Her to Heaven,"Drama,Film-Noir,Romance",nm0821472,"nm0842485,nm0930082",7.6,10988
The Lost Weekend,"Drama,Film-Noir",nm0000697,"nm0413352,nm0102818,nm0000697",7.9,33510
Mildred Pierce,"Crime,Drama,Film-Noir",nm0002031,"nm0532030,nm0128906,nm0001203,nm0344391,nm0540816,nm0682787,nm0877957,nm0928603,nm0932163",8.0,22764
The Picture of Dorian Gray,"Drama,Fantasy,Horror",nm0506797,"nm0506797,nm0928492",7.5,11868
Scarlet Street,"Drama,Film-Noir,Thriller",nm0000485,"nm0478579,nm0610207,nm0629580",7.8,14589
Spellbound,"Film-Noir,Mystery,Romance",nm0000033,"nm0372942,nm4465001,nm0534191,nm0739676,nm0761573",7.6,43439
The Three Caballeros,"Animation,Comedy,Family","nm0949597,nm0272568,nm0455741,nm0314671,nm0730860","nm0109205,nm0855804,nm0780799,nm0670328,nm0942723,nm0687624,nm0931614,nm0183183,nm0174974,nm0091069,nm0335469,nm0400056,nm0810324",6.4,12465
Beauty and the Beast,"Drama,Fantasy,Romance","nm0168413,nm0167496","nm0168413,nm0207305",7.9,24197
The Big Sleep,"Crime,Film-Noir,Mystery",nm0001328,"nm0001203,nm0102824,nm0299154,nm0151452",7.9,78738
Gilda,"Drama,Film-Noir,Romance",nm0896533,"nm0254154,nm0252100,nm0663763,nm0372942",7.7,27953
Great Expectations,"Adventure,Drama,Mystery",nm0000180,"nm0002042,nm0000180,nm0623768,nm0369743,nm0909727,nm0569414",7.8,22101
It's a Wonderful Life,"Drama,Family,Fantasy",nm0001008,"nm0329304,nm0352443,nm0001008,nm0842485,nm0827821,nm0933858",8.6,405223
The Killers,"Crime,Drama,Film-Noir",nm0802563,"nm0892044,nm0002133,nm0001379,nm0112218",7.8,19199
A Matter of Life and Death,"Comedy,Drama,Fantasy","nm0696247,nm0003836","nm0003836,nm0696247",8.1,19464
My Darling Clementine,"Biography,Drama,Romance",nm0000406,"nm0257143,nm0588003,nm0375500,nm0482193",7.8,21520
Notorious,"Drama,Film-Noir,Romance",nm0000033,"nm0372942,nm0000033,nm0285218,nm0644048",7.9,92230
The Postman Always Rings Twice,"Crime,Drama,Film-Noir",nm0307819,"nm0750822,nm0124002,nm0128906",7.5,18541
"Rome, Open City","Drama,Thriller,War",nm0744023,"nm0024847,nm0000019,nm0744023,nm0175924",8.0,23388
Song of the South,"Animation,Comedy,Family","nm0287836,nm0414144","nm0721468,nm0335577,nm0710683,nm0364873,nm0670328,nm0942723,nm0821707",7.1,11364
The Stranger,"Crime,Drama,Film-Noir",nm0000080,"nm0892044,nm0873193,nm0242938,nm0000080,nm0001379",7.4,24100
The Bishop's Wife,"Comedy,Drama,Fantasy",nm0467396,"nm0792845,nm0073394,nm0622251,nm0000697,nm0102818",7.6,15026
Black Narcissus,Drama,"nm0696247,nm0003836","nm0323869,nm0003836,nm0696247",7.8,21862
Dark Passage,"Film-Noir,Thriller",nm0202681,"nm0202681,nm0328959",7.5,17688
Gentleman's Agreement,"Drama,Romance",nm0001415,"nm0387740,nm0366454,nm0001415",7.2,14784
Germany Year Zero,"Drama,War",nm0744023,"nm0744023,nm0515491,nm0464378,nm0024847,nm0289974",7.9,10642
The Ghost and Mrs. Muir,"Comedy,Drama,Fantasy",nm0000581,"nm0242897,nm0225283",7.9,15766
Miracle on 34th Street,"Comedy,Drama,Family",nm0780833,"nm0780833,nm0204016",7.9,41570
Monsieur Verdoux,"Comedy,Crime,Drama",nm0000122,"nm0000122,nm0000080",7.9,15883
Out of the Past,"Crime,Drama,Film-Noir",nm0869664,"nm0537784,nm0128906,nm0272045",8.0,32741
The Paradine Case,"Crime,Drama,Romance",nm0000033,"nm0382562,nm0720904,nm0006388,nm0108833,nm0372942",6.6,10121
Abbott and Costello Meet Frankenstein,"Comedy,Fantasy,Horror","nm0059106,nm0487237","nm0498738,nm0727411,nm0335471,nm0791217,nm0831290",7.4,14789
Fort Apache,"Action,Adventure,Western",nm0000406,"nm0637793,nm0068650",7.5,16401
Hamlet,Drama,nm0000059,"nm0000636,nm0000059",7.6,15301
Key Largo,"Action,Crime,Drama",nm0001379,"nm0112218,nm0001379,nm0027173",7.8,36968
Bicycle Thieves,Drama,nm0001120,"nm0953790,nm0059030,nm0080755,nm0147599,nm0001120,nm0290000,nm0315657,nm0346291",8.3,146182
The Lady from Shanghai,"Crime,Drama,Film-Noir",nm0000080,"nm0455271,nm0000080,nm0145336,nm0496468,nm0548529",7.6,26958
Letter from an Unknown Woman,"Drama,Romance",nm0649097,"nm0462321,nm0959003,nm0649097",8.0,11021
Mr. Blandings Builds His Dream House,"Comedy,Romance",nm0693281,"nm0388233,nm0659085,nm0291035",7.3,10271
The Naked City,"Crime,Drama,Film-Noir",nm0202088,"nm0540816,nm0907013",7.6,12147
Oliver Twist,Drama,nm0000180,"nm0002042,nm0000180,nm0371552,nm0001907,nm0909727",7.8,11344
Red River,"Action,Adventure,Drama","nm0744504,nm0001328","nm0153698,nm0773660",7.8,28129
The Red Shoes,"Drama,Music,Romance","nm0003836,nm0696247","nm0026153,nm0696247,nm0935773,nm0003836",8.1,30891
Rope,"Crime,Drama,Mystery",nm0000033,"nm0002025,nm0358096,nm0491306,nm0372942",8.0,129623
The Treasure of the Sierra Madre,"Adventure,Drama,Western",nm0001379,"nm0001379,nm0871252",8.2,114172
Drunken Angel,"Crime,Drama,Romance",nm0000041,"nm0879939,nm0000041",7.7,10422
Adam's Rib,"Comedy,Drama,Romance",nm0002030,"nm0002106,nm0437717",7.5,19429
The Adventures of Ichabod and Mr. Toad,"Animation,Comedy,Family","nm0019282,nm0314671,nm0455741","nm0410331,nm0334370,nm0672093,nm0382548,nm0727370,nm0780799,nm0109205,nm0716206",7.0,13227
All the King's Men,"Drama,Film-Noir",nm0744035,"nm0913014,nm0744035",7.5,13310
Late Spring,Drama,nm0654868,"nm0386426,nm0633792,nm0654868",8.3,14541
The Heiress,"Drama,Romance",nm0943758,"nm0324537,nm0324499,nm0416556",8.1,13818
Kind Hearts and Coronets,"Comedy,Crime",nm0357607,"nm0395170,nm0357607,nm0226538,nm0593867",8.0,34454
Stray Dog,"Crime,Drama,Mystery",nm0000041,"nm0452878,nm0000041",7.9,15268
On the Town,"Comedy,Musical,Romance","nm0000037,nm0002045","nm0337582,nm0173679,nm0730385",7.4,16049
Orpheus,"Drama,Fantasy,Romance",nm0168413,nm0168413,8.0,10512
She Wore a Yellow Ribbon,Western,nm0000406,"nm0068650,nm0637793,nm0821716",7.3,15957
The Third Man,"Film-Noir,Mystery,Thriller",nm0715346,"nm0001294,nm0000080,nm0466099,nm0715346",8.1,158572
Twelve O'Clock High,"Drama,War",nm0454771,"nm0058905,nm0493446,nm0454771",7.7,12166
White Heat,"Action,Crime,Drama",nm0909825,"nm0324578,nm0730850,nm0446132",8.1,29759
All About Eve,Drama,nm0000581,"nm0000581,nm0650581",8.2,120411
The Asphalt Jungle,"Crime,Drama,Film-Noir",nm0001379,"nm0534693,nm0001379,nm0122446",7.9,23986
Cinderella,"Animation,Family,Fantasy","nm0527217,nm0314671,nm0414144","nm0674518,nm0670328,nm0672093,nm0780799,nm0382548,nm0109205,nm0716206,nm0027011,nm0727370,nm0710683,nm0850895",7.3,145742
D.O.A.,"Drama,Film-Noir,Mystery",nm0005789,"nm0745866,nm0338707",7.3,10797
Father of the Bride,"Comedy,Romance",nm0591486,"nm0329304,nm0352443,nm0834117",7.2,10019
Gun Crazy,"Crime,Drama,Film-Noir",nm0507390,"nm0437969,nm0874308,nm0442228",7.6,11652
Harvey,"Comedy,Drama,Fantasy",nm0467396,"nm0153808,nm0110958,nm0175333",7.9,52544
In a Lonely Place,"Drama,Film-Noir,Mystery",nm0712947,"nm0813584,nm0636002,nm0400568",8.0,26733
Diary of a Country Priest,Drama,nm0000975,"nm0076111,nm0000975",7.9,10108
Night and the City,"Crime,Film-Noir,Mystery",nm0202088,"nm0252100,nm0449946,nm0218778,nm0915252",7.9,12031
Los Olvidados,"Crime,Drama",nm0000320,"nm0017274,nm0041255,nm0000320,nm0488601,nm0211993",8.3,18384
Rashomon,"Crime,Drama,Mystery",nm0000041,"nm0015611,nm0000041,nm0368074",8.2,152362
Rio Grande,"Romance,Western",nm0000406,"nm0570130,nm0068650",7.1,14447
Stage Fright,"Film-Noir,Mystery,Thriller",nm0000033,"nm0177336,nm0720904,nm0421862,nm0108833,nm0532030",7.1,12773
Sunset Blvd.,"Drama,Film-Noir",nm0000697,"nm0102818,nm0000697,nm0551261",8.4,201359
Winchester '73,"Action,Drama,Western",nm0542649,"nm0724307,nm0153698,nm0482193",7.6,16754
The African Queen,"Adventure,Drama,Romance",nm0001379,"nm0286163,nm0012938,nm0001379,nm0171924,nm0896830",7.7,71410
