primaryTitle,genres,directors,writers,averageRating,numVotes
Noelle,"Comedy,Family,Fantasy",nm0492909,nm0492909,6.3,16694
Isle of Dogs,"Adventure,Animation,Comedy",nm0027572,"nm0027572,nm0178910,nm0005403,nm1440081",7.9,138674
Mother!,"Drama,Horror,Mystery",nm0004716,nm0004716,6.6,191156
My Scientology Movie,Documentary,nm0235770,"nm0235770,nm0857621",6.7,12036
Super Dark Times,"Crime,Drama,Horror",nm2023590,"nm2049126,nm2431095",6.6,19566
The Secret Life of Pets 2,"Adventure,Animation,Comedy","nm0719208,nm3646390","nm0528244,nm0202425,nm0666791",6.5,49479
Togo,"Adventure,Biography,Drama",nm0179697,nm0002368,8.0,37271
Wild Rose,"Comedy,Drama,Music",nm2197777,nm2822756,7.2,10649
Peter Rabbit,"Adventure,Comedy,Family",nm0323239,"nm1464577,nm0323239,nm0693229",6.6,35377
The Bar,"Comedy,Horror,Thriller",nm0407067,"nm0346277,nm0407067",6.3,22793
At the End of the Tunnel,"Crime,Drama,Thriller",nm0334824,nm0334824,7.1,12214
Annabelle: Creation,"Horror,Mystery,Thriller",nm2497546,nm2477891,6.5,112485
12 Feet Deep,"Horror,Thriller",nm1760759,"nm1760759,nm2478416",5.5,11927
Headshot,"Action,Drama,Thriller","nm3125415,nm3464186",nm3464186,6.3,13028
The Discovery,"Drama,Romance,Sci-Fi",nm1660595,"nm1660595,nm1645301",6.3,29821
In Darkness,"Mystery,Thriller",nm1396104,"nm1396104,nm1754059",5.8,12048
Ocean's Eight,"Action,Comedy,Crime",nm0002657,"nm0002657,nm6035700,nm0425138,nm0751207",7.0,187073
"Love, Simon","Comedy,Drama,Romance",nm0075528,"nm7698350,nm0074165,nm4170842",7.6,98028
Rustom,"Crime,Drama,Thriller",nm4819186,nm8254778,7.1,23500
"I, Daniel Blake",Drama,"nm8078611,nm0516360",nm0491956,7.9,53728
Mark Felt: The Man Who Brought Down the White House,"Biography,Drama,History",nm1481618,"nm1944541,nm2207084,nm1481618",6.4,11889
The Girl in the Spider's Web,"Action,Crime,Drama",nm1793079,"nm5409198,nm2297183,nm1951398,nm1793079,nm1140275",6.1,41758
Billionaire Boys Club,"Biography,Drama,Thriller",nm0185063,"nm0185063,nm0561359",5.6,11155
